ID,Tribe,Spp,Strategy,Shell,GR,Mass,Length,LM,C,N,P,Ca,K,B,Cu,Fe,Mn,Mg,Zn,Fv,CN,CP,NP,All1,Bulk2,Bulk3,Trace2,Trace3
Casp6,Quadrulini,C.asperata,Equilibrium,General,0.152,20.4,37.71089678,1.848573372,131.1,7.8,0.09254,272.8,0.07207,0.00595,0.00583,0.15597,1.33978,0.03516,0.00728,586.58542,1.187820832,1.904740755,1.488999333,2.18492934,-1.350497655,11.85292213,3.389700505,7.828688121
Fcer1,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,17,36.49047936,2.146498786,130.3,8.5,0.19806,314,0.14351,0.00604,0.00797,0.49226,4.48347,0.10795,0.09152,541.66922,1.168283639,1.801253001,1.370994425,1.961581743,-1.633631743,10.91162676,3.520948843,9.522919763
Fcer2,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,26.9,43.84306547,1.629853735,134.7,7.5,0.1984,403.6,0.1194,0.01736,0.00406,0.4642,1.16064,0.21039,0.01071,452.01484,1.201696106,1.805619031,1.347659657,2.264795129,-2.08697113,11.18061136,0.961751007,6.431906891
Fcer3,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,19.8,38.78520365,1.958848669,129,7.2,0.09005,159,0.03967,0.00285,0.00352,0.16547,1.51449,0.03253,0.13138,702.82004,1.201193444,1.906200752,1.48011338,2.096455321,-0.310058548,11.4131994,3.671763718,9.130791538
Fcer4,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,12.9,32.67652643,2.533064065,128,6.6,0.28435,320,0.08691,0.01053,0.01614,0.90946,0.76697,0.02977,0.07893,543.21694,1.217571479,1.747795707,1.253917672,2.307205324,-1.732570271,10.41192481,-0.148538456,7.24834457
Fcer5,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,11.4,31.1001111,2.728079921,129.6,6.3,0.08276,277.9,0.05133,0.00457,0.00783,0.13291,0.9053,0.02374,0.00404,584.98752,1.229614401,1.917845563,1.471794833,2.259353471,-1.431053411,12.0234335,3.061016716,7.689232476
Fcer6,Pleurobemini,F.cerina,Equilibrium,Unsculp,0.173,15.3,34.98457258,2.286573371,119.8,NA,0.0515,291.7,0.03937,0.00146,0.00114,0.93799,0.92516,0.01842,0.00203,586.52293,NA,NA,NA,NA,NA,NA,NA,NA
Lorn1,Lampsilini,L.ornata,Periodic,Unsculp,0.382,25.8,73.52586428,2.849839701,126.8,5.5,0.09722,364.4,0.10605,0.00529,0.00604,0.21657,1.0128,0.04276,0.01953,501.79374,1.252569948,1.893857158,1.42048001,2.272344684,-2.026942157,12.05989029,2.402884604,7.734369039
Lorn2,Lampsilini,L.ornata,Periodic,Unsculp,0.382,11.5,62.05068018,5.39571132,124.3,4.4,0.05872,410.3,0.11428,0.0068,0.00278,0.16689,0.73268,0.20579,0.00573,459.70633,1.292496317,1.956741282,1.469111881,2.345528025,-2.319365948,12.89266903,1.190848774,6.921740816
Lorn3,Lampsilini,L.ornata,Periodic,Unsculp,0.382,62.4,88.50927102,1.418417805,125.5,4.9,0.08032,277.6,0.04192,0.00304,0.00448,0.89099,1.58845,0.03874,0.01768,589.33438,1.273395177,1.917556046,1.433696591,2.150803168,-1.511451153,12.05040246,0.951716966,9.493372811
Lorn4,Lampsilini,L.ornata,Periodic,Unsculp,0.382,22.1,71.17416445,3.220550428,125.8,5.6,0.04786,155.4,0.02553,0.00669,0.000862,0.28331,0.42187,0.02038,0.00217,712.391328,1.247382609,1.984208727,1.543088104,2.33152149,-0.335841208,12.27331089,0.581711186,6.593246924
Lorn5,Lampsilini,L.ornata,Periodic,Unsculp,0.382,33.5,77.67109172,2.318540051,130.4,5.8,0.07414,276.2,0.05283,0.00682,0.00302,0.15052,1.73229,0.05891,0.05497,585.4665,1.24754734,1.932926115,1.476424397,2.135712588,-1.414384207,12.17585549,3.716526814,7.991715278
Lorn6,Lampsilini,L.ornata,Periodic,Unsculp,0.382,29.1,75.40801828,2.591340834,127.3,5.1,0.08368,272.5,0.03312,0.00819,0.000051,0.0827,1.97464,0.03877,0.00241,592.876439,1.268326844,1.914066585,1.433526389,2.106313644,-1.443865009,11.9808209,4.83193607,7.816995826
Ouni1,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,9.2,30.26543754,3.289721472,118.2,NA,0.07474,418.8,0.16204,0.01057,0.00515,0.22207,1.01991,0.30683,0.01244,461.18625,NA,NA,NA,NA,NA,NA,NA,NA
Ouni2,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,24.5,38.66264138,1.578066995,122.2,4.1,0.08138,334,0.1039,0.00591,0.000091,0.39429,2.49756,0.06626,0.00453,536.546079,1.302818497,1.912365653,1.399930839,2.085263597,-1.945583986,12.20686504,2.931490108,8.760490935
Ouni3,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,23.8,38.38347047,1.61275086,115.6,7.3,0.19995,266.1,0.08413,0.00242,0.00335,0.47347,4.93239,0.1253,0.02707,605.15192,1.175215216,1.783230762,1.341186469,1.908338474,-1.545634542,10.6834259,3.663027374,10.91360308
Ouni4,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,17.2,35.39012623,2.057565479,119.1,2.6,0.06798,288.8,0.04392,0.00346,0.00012,0.18715,1.34001,0.01832,0.00112,587.83792,1.382832606,1.932421436,1.349824652,2.184315897,-1.728654946,12.30304109,3.249426485,8.613562037
Ouni5,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,5.5,26.61280626,4.838692048,117.1,3.4,0.22437,371.5,0.11715,0.00615,0.00106,0.41553,0.7347,0.01924,0.00496,506.47684,1.330273062,1.768825468,1.165811785,2.328871869,-2.252428809,10.86964963,0.922846249,7.405508399
Ouni6,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,13.7,33.43336901,2.440391899,120.1,NA,0.07456,281.4,0.03188,0.00171,0.000643,0.33641,0.86232,0.01075,0.01909,597.162637,NA,NA,NA,NA,NA,NA,NA,NA
Ouni7,Lampsilini,O.unicolor,Periodic,Unsculp,0.192,9.6,30.58917811,3.18637272,129.7,6.9,0.11456,409.2,0.13017,0.01221,0.00257,0.27999,0.43791,0.23608,0.00792,452.97859,1.211136384,1.875084087,1.431463934,2.437455804,-2.19493029,11.95885378,-0.243451387,5.782127169
Pdec1,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,20.2,45.61283165,2.258060973,124,6.8,0.1156,277.8,0.06708,0.00317,0.00213,0.34058,1.56111,0.0592,0.00536,589.24577,1.204856621,1.867873241,1.427330014,2.154218751,-1.506946862,11.53089461,2.36775569,9.051953244
Pdec2,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,21,46.30901301,2.205191096,147.1,13,0.42159,364,0.47022,0.02243,0.00341,3.70566,0.00142,0.46004,0.03743,470.7778,1.101399852,1.7109697,1.309326422,3.269620787,-1.645292454,10.04132255,-7.951496415,7.238732658
Pdec3,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,17.5,43.13053438,2.464601964,119.1,5.9,0.25604,391.2,0.24041,0.00712,0.00184,7.7,0.00056,0.25822,0.02381,475.312,1.225767336,1.752481822,1.252472345,3.385062346,-2.283039114,10.74437495,-9.900089986,9.884597609
Pdec4,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,7.6,31.15425003,4.099243425,113.6,5.8,0.13723,323.3,0.07845,0.00565,0.00219,0.31148,0.70115,0.04333,0.01214,556.00838,1.21959534,1.832863939,1.36820226,2.318271389,-1.992688216,11.40676554,1.214810573,7.357732741
Pdec5,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,11.1,36.1140306,3.253516271,140.7,7.5,0.12379,316.3,0.06547,0.00229,0.00139,0.20076,0.89803,0.03355,0.00675,534.16797,1.210728488,1.87560639,1.432492883,2.282076405,-1.516670766,11.61614102,2.342740575,8.74096253
Pdec6,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,11.9,37.10763832,3.118288934,128.3,6.3,0.13424,277.6,0.06061,0.00734,0.00106,1.32748,2.44136,0.0567,0.00818,583.76303,1.227562959,1.852362992,1.387205044,2.068174899,-1.448184247,11.3338368,0.989390698,8.829829591
Pdec7,Pleurobemini,P.decisum,Equilibrium,Unsculp,0.145,11.5,36.61610609,3.184009225,128.9,6.4,0.10293,272.5,0.07826,0.0086,0.00301,0.38366,1.12176,0.04813,0.00794,590.44571,1.225303823,1.888483921,1.437011504,2.216872394,-1.400862461,11.69365758,1.670439875,7.31475434
Tver1,Quadrulini,T.verrucosa,Periodic,General,0.126,40.6,69.40257526,1.709423036,123.3,5.9,0.14159,259.5,0.07347,0.004,0.01035,0.74801,11.5,0.0763,0.21093,598.53535,1.232815489,1.839760872,1.365608303,1.713599783,-1.395356385,11.17558563,4.597927361,11.3769659
Tver2,Quadrulini,T.verrucosa,Periodic,General,0.126,39.4,68.6796671,1.743138759,133,9.2,0.13819,266.1,0.08789,0.007,0.00456,0.49644,5.4,0.09189,0.24557,585.22846,1.155669859,1.853304462,1.448849408,1.899171793,-1.253935791,11.2689313,3.91815149,9.585170886
Tver3,Quadrulini,T.verrucosa,Periodic,General,0.126,37.1,67.25297406,1.812748627,123.6,NA,0.107,276.1,0.04459,0.00257,0.00299,0.30556,3.29878,0.03797,0.09875,596.40179,NA,NA,NA,NA,NA,NA,NA,NA
Tver4,Quadrulini,T.verrucosa,Periodic,General,0.126,24.1,57.85274202,2.400528715,121.3,NA,0.06667,271.6,0.03387,0.00312,0.0037,0.08531,0.74376,0.021,0.05909,606.08348,NA,NA,NA,NA,NA,NA,NA,NA
Tver5,Quadrulini,T.verrucosa,Periodic,General,0.126,14.6,48.56899831,3.32664372,126.3,5.6,0.08243,281.4,0.04372,0.00469,0.00343,0.22676,1.66228,0.02859,0.01295,584.63515,1.248177358,1.91500207,1.452338189,2.144169834,-1.515776878,12.02977777,3.261652557,8.495216441
Tver6,Quadrulini,T.verrucosa,Periodic,General,0.126,11.9,45.22367897,3.800309157,124.7,4.8,0.0908,412.8,0.0927,0.00799,0.00331,0.10594,0.79179,0.17063,0.10269,456.33415,1.276184731,1.900658681,1.408494216,2.332798111,-2.319013744,12.28389401,2.039441735,6.835300846
